kepid,koi_period,koi_disposition
5880320,8.19345065,"CONFIRMED"
6037187,41.8059544,"CONFIRMED"
5735762,4.77800306,"CONFIRMED"
6359320,5.32667299,"CONFIRMED"
3859628,8.17242644,"CONFIRMED"
1718189,13.0607936,"CONFIRMED"
8222813,8.70420525,"CONFIRMED"
6359320,8.1280933,"CONFIRMED"
6362874,0.974868896,"CONFIRMED"
6272413,4.89721006,"CONFIRMED"
3447722,16.08832318,"CONFIRMED"
3447722,10.30067919,"CONFIRMED"
3447722,35.6757453,"CONFIRMED"
2165002,16.56806842,"CONFIRMED"
2165002,47.3329299,"CONFIRMED"
1871056,40.8065333,"CONFIRMED"
8222813,2.46697039,"CONFIRMED"
8240904,6.61836309,"CONFIRMED"
8240904,107.7214092,"CONFIRMED"
5735762,9.673958488,"CONFIRMED"
3962243,14.12847677,"CONFIRMED"
3962243,48.6478543,"CONFIRMED"
3438507,8.39842977,"CONFIRMED"
3869014,8.63847391,"CONFIRMED"
1871056,140.10765,"CONFIRMED"
1865042,3.4815917,"CONFIRMED"
5780460,35.61760233,"CONFIRMED"
8229696,10.12805158,"CONFIRMED"
10272640,3.770551475,"CONFIRMED"
8346392,5.72812616,"CONFIRMED"
8288947,3.75574267,"CONFIRMED"
9480189,6.581477136,"CONFIRMED"
11974540,24.669192732,"CONFIRMED"
9480189,2.382652873,"CONFIRMED"
9480189,24.66461416,"CONFIRMED"
9512687,11.51517167,"CONFIRMED"
8644288,7.641567589,"CONFIRMED"
1725016,7.40742502,"CONFIRMED"
5446285,10.916108342,"CONFIRMED"
10166274,3.353732008,"CONFIRMED"
10166274,6.877446033,"CONFIRMED"
10166274,28.46464804,"CONFIRMED"
5735762,42.89645024,"CONFIRMED"
8351704,7.09712124,"CONFIRMED"
9513865,3.601465336,"CONFIRMED"
9605514,25.8474958,"CONFIRMED"
9605514,40.715561,"CONFIRMED"
8125580,17.31711739,"CONFIRMED"
8158127,9.42889884,"CONFIRMED"
10141900,6.50327035,"CONFIRMED"
10141900,4.09667624,"CONFIRMED"
10141900,1.196548464,"CONFIRMED"
8410727,11.47609015,"CONFIRMED"
8410727,25.2630467,"CONFIRMED"
8278371,0.677374687,"CONFIRMED"
8280511,10.43547031,"CONFIRMED"
8280511,7.41084314,"CONFIRMED"
9710326,28.59914031,"CONFIRMED"
9761882,24.58716355,"CONFIRMED"
9766437,12.53248222,"CONFIRMED"
9775938,13.19720694,"CONFIRMED"
8644288,14.85890852,"CONFIRMED"
8158127,4.08897299,"CONFIRMED"
8174625,17.44486016,"CONFIRMED"
10157458,7.33685101,"CONFIRMED"
10118816,7.71790675,"CONFIRMED"
10122255,27.6652847,"CONFIRMED"
3835670,14.55730897,"CONFIRMED"
9775938,33.6528474,"CONFIRMED"
9787239,5.90127815,"CONFIRMED"
9787239,8.75209691,"CONFIRMED"
9787239,22.78078241,"CONFIRMED"
9787239,2.896005211,"CONFIRMED"
9787239,0.742957911,"CONFIRMED"
2716853,18.82744023,"CONFIRMED"
2715135,5.747711909,"CONFIRMED"
8644288,3.504691252,"CONFIRMED"
3247268,86.67856052,"CONFIRMED"
3247268,12.21828097,"CONFIRMED"
10354039,64.617518,"CONFIRMED"
10330115,13.21409607,"CONFIRMED"
10426656,6.05729966,"CONFIRMED"
9820483,3.584101048,"CONFIRMED"
9941662,1.763587535,"CONFIRMED"
7778437,5.014234733,"CONFIRMED"
9823457,8.11528727,"CONFIRMED"
9823457,36.9250409,"CONFIRMED"
2164169,32.3122867,"CONFIRMED"
2574338,9.22961384,"CONFIRMED"
2584163,14.5598556,"CONFIRMED"
4180280,4.176254191,"CONFIRMED"
2721030,6.10027621,"CONFIRMED"
7626506,8.408878137,"CONFIRMED"
10426656,10.93725572,"CONFIRMED"
10426656,2.97136658,"CONFIRMED"
10528068,158.6850022,"CONFIRMED"
10468940,2.936527336,"CONFIRMED"
9825625,7.03902016,"CONFIRMED"
9875711,8.360870704,"CONFIRMED"
1026957,21.76129812,"CONFIRMED"
2853093,161.5278347,"CONFIRMED"
3245969,11.39102358,"CONFIRMED"
3231341,12.33343853,"CONFIRMED"
10468940,8.01500821,"CONFIRMED"
10337517,7.053934488,"CONFIRMED"
10337517,4.29263699,"CONFIRMED"
10351231,7.6746614,"CONFIRMED"
8561063,1.213770423,"CONFIRMED"
8561063,0.453287416,"CONFIRMED"
8561063,1.865114193,"CONFIRMED"
7102227,36.7704935,"CONFIRMED"
7102227,14.58932429,"CONFIRMED"
7102227,0.764017553,"CONFIRMED"
6960913,59.8780258,"CONFIRMED"
11122894,74.92768653,"CONFIRMED"
11122894,150.0189511,"CONFIRMED"
11129738,2.613020421,"CONFIRMED"
11401182,0.927859786,"CONFIRMED"
11030711,205.912735,"CONFIRMED"
11512246,7.10695741,"CONFIRMED"
6690082,2.1395563,"CONFIRMED"
6690082,4.807103254,"CONFIRMED"
6448890,21.4054422,"CONFIRMED"
6448890,10.5007712,"CONFIRMED"
10730034,2.633852528,"CONFIRMED"
10730034,6.18670882,"CONFIRMED"
10858691,1.796320953,"CONFIRMED"
10858691,3.468073,"CONFIRMED"
10858691,5.9142668,"CONFIRMED"
8107380,14.00640392,"CONFIRMED"
6936909,3.546531809,"CONFIRMED"
6936909,5.70070626,"CONFIRMED"
6962977,20.8341497,"CONFIRMED"
6962977,7.0556584,"CONFIRMED"
11176127,10.47548084,"CONFIRMED"
11176127,22.92886314,"CONFIRMED"
11176127,77.4740991,"CONFIRMED"
11014932,6.88595222,"CONFIRMED"
8030148,5.660669429,"CONFIRMED"
6693640,13.71938426,"CONFIRMED"
10858691,29.2214959,"CONFIRMED"
10973814,44.8520997,"CONFIRMED"
10973814,20.34237838,"CONFIRMED"
6541920,118.3786735,"CONFIRMED"
10586208,23.58444746,"CONFIRMED"
6962977,11.97884409,"CONFIRMED"
6962977,3.71545593,"CONFIRMED"
6962977,2.58083264,"CONFIRMED"
6932987,19.25404023,"CONFIRMED"
11014932,15.0549356,"CONFIRMED"
11014932,2.92721119,"CONFIRMED"
11014932,38.2856338,"CONFIRMED"
11288505,19.80787763,"CONFIRMED"
11493431,2.343230566,"CONFIRMED"
10854768,10.1171684,"CONFIRMED"
10964440,19.12947603,"CONFIRMED"
10713616,83.5781976,"CONFIRMED"
10963242,6.1469956,"CONFIRMED"
6932987,54.1558384,"CONFIRMED"
8191672,3.548465446,"CONFIRMED"
6851425,11.1199028,"CONFIRMED"
6934291,0.567856484,"CONFIRMED"
11037335,40.7150498,"CONFIRMED"
11037335,10.44635944,"CONFIRMED"
11389771,2.508553286,"CONFIRMED"
11389771,13.75129636,"CONFIRMED"
10925104,8.041347775,"CONFIRMED"
10585852,8.57504983,"CONFIRMED"
10794087,7.64970832,"CONFIRMED"
6541920,10.30401132,"CONFIRMED"
7287415,3.016182013,"CONFIRMED"
6924203,6.8833761,"CONFIRMED"
11389771,5.41908491,"CONFIRMED"
11599038,7.01733571,"CONFIRMED"
11193263,6.91134223,"CONFIRMED"
11027624,394.6249514,"CONFIRMED"
11032227,7.19304935,"CONFIRMED"
8751933,86.64764448,"CONFIRMED"
